Trial,Result,Mapping,NumberTries,SuccessRate,MaxLoopLength,MinLoopLength,AverageLoopLength,NumLoops
542,0,"{1: 2, 2: 9, 3: 7, 4: 3, 5: 5, 6: 6, 7: 8, 8: 10, 9: 4, 10: 1}",5,0.3314917127071823,8,1,3.3333333333333335,3
543,0,"{1: 1, 2: 8, 3: 3, 4: 5, 5: 7, 6: 4, 7: 10, 8: 9, 9: 6, 10: 2}",5,0.33088235294117646,8,1,3.3333333333333335,3
544,0,"{1: 6, 2: 10, 3: 7, 4: 5, 5: 9, 6: 8, 7: 2, 8: 4, 9: 3, 10: 1}",5,0.3302752293577982,10,10,10.0,1
545,0,"{1: 10, 2: 4, 3: 6, 4: 3, 5: 8, 6: 5, 7: 1, 8: 9, 9: 7, 10: 2}",5,0.32967032967032966,10,10,10.0,1
546,1,"{1: 4, 2: 7, 3: 6, 4: 1, 5: 9, 6: 5, 7: 10, 8: 3, 9: 8, 10: 2}",5,0.33089579524680074,5,2,3.3333333333333335,3
547,0,"{1: 1, 2: 5, 3: 4, 4: 6, 5: 8, 6: 7, 7: 2, 8: 10, 9: 3, 10: 9}",5,0.3302919708029197,9,1,5.0,2
548,1,"{1: 1, 2: 10, 3: 3, 4: 2, 5: 5, 6: 9, 7: 7, 8: 8, 9: 6, 10: 4}",5,0.331511839708561,3,1,1.4285714285714286,7
549,0,"{1: 9, 2: 1, 3: 10, 4: 8, 5: 2, 6: 6, 7: 3, 8: 5, 9: 4, 10: 7}",5,0.33090909090909093,6,1,3.3333333333333335,3
550,1,"{1: 2, 2: 4, 3: 9, 4: 5, 5: 7, 6: 3, 7: 1, 8: 6, 9: 8, 10: 10}",5,0.33212341197822143,5,1,3.3333333333333335,3
551,0,"{1: 8, 2: 3, 3: 6, 4: 1, 5: 5, 6: 9, 7: 7, 8: 10, 9: 4, 10: 2}",5,0.33152173913043476,8,1,3.3333333333333335,3
552,1,"{1: 9, 2: 2, 3: 7, 4: 1, 5: 10, 6: 6, 7: 8, 8: 5, 9: 4, 10: 3}",5,0.33273056057866185,5,1,2.5,4
553,0,"{1: 1, 2: 6, 3: 5, 4: 9, 5: 2, 6: 4, 7: 10, 8: 7, 9: 8, 10: 3}",5,0.33212996389891697,9,1,5.0,2
554,0,"{1: 6, 2: 4, 3: 7, 4: 1, 5: 5, 6: 9, 7: 2, 8: 8, 9: 10, 10: 3}",5,0.33153153153153153,8,1,3.3333333333333335,3
555,0,"{1: 6, 2: 3, 3: 7, 4: 5, 5: 8, 6: 10, 7: 4, 8: 9, 9: 2, 10: 1}",5,0.33093525179856115,7,3,5.0,2
556,0,"{1: 3, 2: 4, 3: 8, 4: 9, 5: 7, 6: 5, 7: 1, 8: 10, 9: 6, 10: 2}",5,0.3303411131059246,10,10,10.0,1
557,1,"{1: 5, 2: 7, 3: 10, 4: 4, 5: 1, 6: 2, 7: 8, 8: 6, 9: 9, 10: 3}",5,0.33154121863799285,4,1,2.0,5
558,0,"{1: 6, 2: 10, 3: 3, 4: 2, 5: 4, 6: 5, 7: 1, 8: 7, 9: 9, 10: 8}",5,0.33094812164579607,8,1,3.3333333333333335,3
559,1,"{1: 8, 2: 9, 3: 10, 4: 6, 5: 3, 6: 7, 7: 1, 8: 4, 9: 2, 10: 5}",5,0.33214285714285713,5,2,3.3333333333333335,3
560,0,"{1: 9, 2: 10, 3: 2, 4: 4, 5: 3, 6: 6, 7: 8, 8: 1, 9: 5, 10: 7}",5,0.3315508021390374,8,1,3.3333333333333335,3
561,1,"{1: 10, 2: 6, 3: 4, 4: 8, 5: 5, 6: 3, 7: 7, 8: 2, 9: 1, 10: 9}",5,0.33274021352313166,5,1,2.5,4
562,0,"{1: 4, 2: 7, 3: 8, 4: 9, 5: 10, 6: 2, 7: 3, 8: 1, 9: 6, 10: 5}",5,0.3321492007104796,8,2,5.0,2
563,0,"{1: 4, 2: 2, 3: 10, 4: 7, 5: 8, 6: 1, 7: 3, 8: 5, 9: 9, 10: 6}",5,0.33156028368794327,6,1,2.5,4
564,1,"{1: 4, 2: 7, 3: 3, 4: 2, 5: 6, 6: 5, 7: 9, 8: 8, 9: 1, 10: 10}",5,0.3327433628318584,5,1,2.0,5
565,0,"{1: 9, 2: 10, 3: 4, 4: 1, 5: 5, 6: 3, 7: 7, 8: 8, 9: 2, 10: 6}",5,0.3321554770318021,7,1,2.5,4
566,1,"{1: 4, 2: 2, 3: 7, 4: 1, 5: 9, 6: 5, 7: 6, 8: 10, 9: 3, 10: 8}",5,0.3333333333333333,5,1,2.5,4
567,0,"{1: 4, 2: 6, 3: 9, 4: 10, 5: 3, 6: 2, 7: 7, 8: 5, 9: 1, 10: 8}",5,0.33274647887323944,7,1,3.3333333333333335,3
568,0,"{1: 9, 2: 10, 3: 2, 4: 4, 5: 1, 6: 7, 7: 8, 8: 5, 9: 3, 10: 6}",5,0.3321616871704745,9,1,5.0,2
569,1,"{1: 5, 2: 2, 3: 9, 4: 6, 5: 1, 6: 4, 7: 10, 8: 3, 9: 8, 10: 7}",5,0.3333333333333333,3,1,2.0,5
570,0,"{1: 10, 2: 8, 3: 5, 4: 4, 5: 9, 6: 3, 7: 7, 8: 1, 9: 2, 10: 6}",5,0.3327495621716287,8,1,3.3333333333333335,3
571,1,"{1: 7, 2: 10, 3: 1, 4: 5, 5: 6, 6: 2, 7: 3, 8: 8, 9: 9, 10: 4}",5,0.3339160839160839,5,1,2.5,4
572,0,"{1: 5, 2: 6, 3: 10, 4: 8, 5: 3, 6: 1, 7: 2, 8: 4, 9: 7, 10: 9}",5,0.3333333333333333,8,2,5.0,2
